,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,80,US,1554209902,87,19.71,-155.08,66.99,1.99
1,La Ronge,20,CA,1554206400,66,55.1,-105.3,15.8,6.93
2,Benguela,0,AO,1554209929,89,-12.58,13.4,85.77,7.99
3,Vardo,5,US,1554209935,74,39.62,-77.74,41,4.63
4,Chapais,90,CA,1554206400,85,49.78,-74.86,21.2,11.41
5,Tura,8,IN,1554209959,94,25.52,90.21,66.24,2.62
6,Cotonou,40,BJ,1554206400,75,6.37,2.43,89.6,8.05
7,Ushuaia,75,AR,1554206400,87,-54.81,-68.31,48.2,14.99
8,North Bend,90,US,1554209735,100,43.41,-124.22,53.01,3.36
9,Albany,40,US,1554209783,50,42.65,-73.75,37,9.17
10,Atuona,76,PF,1554210010,99,-9.8,-139.03,82.26,11.01
11,Kapaa,90,US,1554209897,83,22.08,-159.32,71.6,14.99
12,Arraial do Cabo,20,BR,1554206400,69,-22.97,-42.02,80.6,5.82
13,Carnarvon,0,ZA,1554210041,11,-30.97,22.13,75.33,4.63
14,Tuktoyaktuk,64,CA,1554210052,81,69.44,-133.03,10.62,16.37
15,Severo-Kurilsk,80,RU,1554210062,98,50.68,156.12,31.14,12.8
16,Puerto Ayora,20,EC,1554209286,88,-0.74,-90.35,77,2.24
17,Nishihara,0,JP,1554210066,48,35.74,139.53,46,17.22
18,Yellowknife,20,CA,1554209510,77,62.45,-114.38,-0.01,9.17
19,Kavaratti,0,IN,1554209962,100,10.57,72.64,83.79,10.78
20,Vaini,40,IN,1554206400,34,15.34,74.49,93.2,6.93
21,Vaitape,76,PF,1554210123,97,-16.52,-151.75,84.87,8.66
22,Boende,76,CD,1554210133,75,-0.28,20.88,85.32,2.39
23,Bluff,64,AU,1554210143,52,-23.58,149.07,76.32,11.45
24,Mataura,24,NZ,1554210007,89,-46.19,168.86,48.99,4.29
25,Provideniya,20,RU,1554210164,97,64.42,-173.23,24.75,9.22
26,Zhigansk,36,RU,1554210174,73,66.77,123.37,27.45,7.76
27,Naron,40,ES,1554210078,71,43.52,-8.15,57,8.05
28,Dudinka,80,RU,1554210194,86,69.41,86.18,26.19,11.68
29,Neuquen,0,AR,1554206400,52,-38.95,-68.06,68,10.29
30,Ostrovnoy,0,RU,1554210215,92,68.05,39.51,28.62,11.68
31,Port Blair,0,IN,1554210095,100,11.67,92.75,84.69,4.18
32,Grindavik,20,IS,1554208200,100,63.84,-22.43,32,20.8
33,Bredasdorp,75,ZA,1554209179,53,-34.53,20.04,72,23.04
34,Coquimbo,90,CL,1554206400,87,-29.95,-71.34,59,3.36
35,Yulara,0,AU,1554206400,13,-25.24,130.99,73.4,8.05
36,Khatanga,88,RU,1554210276,87,71.98,102.47,24.21,12.35
37,Bethel,1,US,1554206160,92,60.79,-161.76,28.4,5.82
38,Cape Town,0,ZA,1554210190,27,-33.93,18.42,79,9.17
39,Castro,20,CL,1554206400,87,-42.48,-73.76,50,9.17
40,Ghanzi,80,BW,1554210318,61,-21.7,21.65,76.77,7.31
41,Port Alfred,44,ZA,1554210238,83,-33.59,26.89,64,5.01
42,Kodiak,90,US,1554210228,93,39.95,-94.76,39.99,13.87
43,Rikitea,64,PF,1554210348,100,-23.12,-134.97,75.87,14.03
44,Miguel Hidalgo,20,MX,1554205560,50,19.41,-99.19,53.6,4.7
45,Kununurra,0,AU,1554208200,64,-15.77,128.74,71.6,8.55
46,Avarua,24,CK,1554208200,78,-21.21,-159.78,78.8,17.22
47,Wheatley,1,CA,1554210368,69,42.09,-82.46,39,9.17
48,Fairbanks,1,US,1554210133,86,64.84,-147.72,32,5.82
49,Balabac,20,PH,1554210409,98,7.99,117.06,83.43,9.1
50,Nuevo Progreso,90,US,1554210141,87,26.05,-97.95,55.99,5.82
51,Tiksi,0,RU,1554210429,74,71.64,128.87,7.56,2.73
52,Shitanjing,44,CN,1554210381,4,39.23,106.34,55,3
53,New Norfolk,0,AU,1554210094,58,-42.78,147.06,57.2,8.05
54,Sinjar,88,SY,1554210460,95,35.59,37,55.44,12.68
55,Klaksvik,36,FO,1554207600,100,62.23,-6.59,39.2,25.28
56,Kahului,1,US,1554210280,93,20.89,-156.47,69.01,11.41
57,Manaquiri,75,BR,1554206400,83,-3.43,-60.46,82.4,8.05
58,Rio Grande,40,BR,1554206400,88,-32.03,-52.1,73.4,4.7
59,Chokurdakh,64,RU,1554210511,74,70.62,147.9,5.85,7.65
60,Kant,0,KG,1554208200,62,42.89,74.85,53.6,6.71
61,Kenai,90,US,1554210124,92,60.55,-151.26,28,1.95
62,Ilulissat,75,GL,1554205800,49,69.22,-51.1,24.8,4.7
63,Sudak,12,UA,1554210552,83,44.85,34.97,49.14,13.47
64,Tema,20,GH,1554206400,55,5.66,-0.01,91.4,12.75
65,Makat,92,KZ,1554210572,95,47.65,53.35,47.97,16.49
66,Katsuura,75,JP,1554210255,81,33.93,134.5,45,10.29
67,Humberto de Campos,8,BR,1554210592,100,-2.6,-43.46,80.1,3.51
68,Kulhudhuffushi,68,MV,1554210603,100,6.62,73.07,83.7,3.74
69,Hermanus,8,ZA,1554210115,58,-34.42,19.24,79,15.01
70,Busselton,0,AU,1554210606,33,-33.64,115.35,66.99,21.07
71,Lorengau,92,PG,1554210633,94,-2.02,147.27,84.15,8.77
72,Arzgir,92,RU,1554210644,99,45.37,44.21,44.1,11.9
73,Lyuban,0,BY,1554210654,54,52.8,28,49.14,7.87
74,Sungaipenuh,32,ID,1554210455,82,-2.08,101.38,71.28,1.61
75,Butaritari,76,KI,1554210674,99,3.07,172.79,83.88,11.01
76,Lagos,75,NG,1554206400,56,6.46,3.39,96.8,8.05
77,Jamestown,0,AU,1554210695,78,-33.21,138.6,53.01,2.95
78,Salmon Creek,90,US,1554210702,76,45.71,-122.66,54,3.36
79,Vestmannaeyjar,0,IS,1554206400,64,63.44,-20.27,33.8,26.4
80,Sandila,0,IN,1554208200,19,27.06,80.51,91.4,5.82
81,Haines Junction,0,CA,1554210735,66,60.75,-137.51,11.7,1.95
82,Broken Hill,0,AU,1554206400,39,-31.97,141.45,66.2,4.7
83,Dikson,76,RU,1554210756,100,73.51,80.55,23.94,25.77
84,Leningradskiy,44,RU,1554210766,87,69.38,178.42,10.53,10.45
85,Cap Malheureux,40,MU,1554210541,66,-19.98,57.61,86,9.17
86,Saint George,20,GR,1554210227,32,39.45,22.34,69.01,16.11
87,Punta Arenas,40,CL,1554210147,71,-53.16,-70.91,50,29.97
88,Berlevag,40,NO,1554205800,69,70.86,29.09,33.8,19.46
89,Cidreira,8,BR,1554210817,87,-30.17,-50.22,74.34,4.52
90,Nikolskoye,0,RU,1554210636,56,59.7,30.79,46.99,13.42
91,Mirnyy,0,RU,1554210837,57,56.57,36.46,43.74,10
92,Pevek,12,RU,1554210847,77,69.7,170.27,24.3,19.84
93,Ribeira Grande,75,PT,1554210000,63,38.52,-28.7,60.8,16.11
94,Georgetown,20,GY,1554206400,78,6.8,-58.16,82.4,11.41
95,Ratnagiri,0,IN,1554210878,90,16.98,73.3,83.52,13.35
96,East London,75,ZA,1554207300,93,-33.02,27.91,60.8,9.17
97,Tadine,20,NC,1554210899,97,-21.55,167.88,78.75,14.14
98,Chubbuck,90,US,1554210458,75,42.93,-112.47,41,2.73
99,Qaanaaq,0,GL,1554210919,71,77.48,-69.36,-6.49,11.68
100,Polunochnoye,44,RU,1554210929,60,60.87,60.43,36.36,12.8
101,Palana,12,RU,1554210940,87,59.08,159.95,29.7,7.2
102,Saint-Philippe,40,CA,1554210949,86,45.36,-73.48,35.01,6.93
103,Sulangan,76,PH,1554210960,100,11.14,123.72,80.64,5.08
104,Kodinsk,80,RU,1554210970,48,58.6,99.18,37.17,7.99
105,Port Hardy,5,CA,1554206400,86,50.7,-127.42,33.8,3.36
106,Tateyama,75,JP,1554210613,93,36.66,137.31,43,2.24
107,Kunzelsau,0,DE,1554210965,29,49.28,9.69,72,9.17
108,Cabo San Lucas,5,MX,1554210903,39,22.89,-109.91,64,6.08
109,Oktyabrskoye,40,RU,1554210916,52,56.73,85.44,43,17.9
110,Laurel,40,US,1554210900,80,45.67,-108.77,33.8,3.36
111,Antsohihy,48,MG,1554211041,90,-14.88,47.99,83.88,5.97
112,Port Macquarie,40,AU,1554210905,100,-31.43,152.91,63,7.99
113,Woodward,1,US,1554210937,56,36.43,-99.39,42.8,10.29
114,Mar del Plata,0,AR,1554211072,46,-46.43,-67.52,61.92,21.74
115,Treuchtlingen,0,DE,1554211037,37,48.96,10.91,68,1.12
116,Horki,0,BY,1554208200,31,54.29,30.98,46.4,6.71
117,Erzin,75,TR,1554210888,67,36.95,36.2,63,16.11
118,Bacolod,12,PH,1554211113,84,10.68,122.95,77.22,6.42
119,Manzhouli,0,CN,1554211123,32,49.6,117.43,35.1,7.31
120,Sitka,8,US,1554211133,77,37.17,-99.65,32.58,2.62
121,Saint-Georges,80,CA,1554211019,64,46.12,-70.67,30,3
122,Sobolevo,0,RU,1554211154,68,54.43,31.9,46.71,7.2
123,San Quintin,92,PH,1554211164,90,17.54,120.52,71.19,2.39
124,Hithadhoo,0,MV,1554211174,100,-0.6,73.08,84.6,9.89
125,Ipilan,0,PH,1554211184,100,8.84,117.9,81,11.68
126,Tasiilaq,90,GL,1554209400,79,65.61,-37.64,24.8,14.99
127,Los Llanos de Aridane,75,ES,1554210660,68,28.66,-17.92,64.4,11.41
128,Saint-Joseph,0,FR,1554211085,45,43.56,6.97,69.8,5.82
129,Champerico,75,MX,1554209460,68,16.38,-93.6,71.6,9.17
130,Luderitz,0,NA,1554211235,87,-26.65,15.16,64.35,10.78
131,Encruzilhada,24,BR,1554211245,83,-15.53,-40.91,72.63,4.18
132,Hobart,0,AU,1554211139,58,-42.88,147.33,57.2,8.05
133,Oistins,40,BB,1554206400,65,13.07,-59.53,82.4,21.92
134,Bhinmal,0,IN,1554211276,15,25.01,72.27,104.58,5.64
135,Bucyrus,1,US,1554211105,59,40.81,-82.98,37.99,5.82
136,Pingliang,64,CN,1554211296,53,35.54,106.68,51.57,5.64
137,Kaitangata,20,NZ,1554211280,84,-46.28,169.85,48.99,3
138,Ciudad Bolivar,8,VE,1554211317,68,8.12,-63.55,78.66,12.12
139,Price,90,US,1554211144,56,39.6,-110.81,41,3.36
140,Esperance,20,TT,1554211020,88,10.24,-61.45,82,6.93
141,Nakamura,20,JP,1554211154,65,35.17,136.87,44.6,21.92
142,Dryden,90,CA,1554209820,100,49.79,-92.84,30.2,14.99
143,Broome,90,GB,1554211331,100,52.47,1.45,48.99,12.75
144,Panama City,1,US,1554211242,87,30.16,-85.65,57,11.56
145,Hasaki,20,JP,1554210277,52,35.73,140.83,41,8.05
146,Zonguldak,75,TR,1554209400,71,41.25,31.83,54,13.87
147,Tingi,20,TZ,1554211408,100,-11.3,35.03,77.76,4.97
148,Noumea,0,NC,1554211198,78,-22.28,166.46,71.6,2.24
149,Bathsheba,40,BB,1554206400,65,13.22,-59.52,82.4,21.92
150,Sillanwali,0,PK,1554211439,38,31.83,72.54,90,6.2
151,Te Anau,0,NZ,1554211449,88,-45.41,167.72,30.69,2.84
152,Usakos,0,NA,1554211459,63,-22,15.59,83.34,3.18
153,Karangampel,80,ID,1554211469,100,-6.46,108.44,84.24,6.76
154,Komsomolskiy,44,RU,1554211479,90,67.55,63.78,26.55,14.81
155,Margate,0,AU,1554211280,58,-43.03,147.26,57.2,8.05
156,Vila Velha,20,BR,1554211088,69,-3.71,-38.6,82.4,3.36
157,Douglas,1,US,1554209760,92,58.28,-134.39,30.2,4.07
158,Bonavista,8,CA,1554211008,58,48.65,-53.11,33.01,30
159,San Vicente,56,SV,1554211238,94,13.64,-88.78,77,3.36
160,Fortuna,20,ES,1554211530,60,38.18,-1.13,71.01,10.29
161,Uvinza,48,TZ,1554211553,68,-5.1,30.39,78.48,4.74
162,Aasiaat,56,GL,1554211563,92,68.71,-52.87,21.6,21.07
163,Aklavik,90,CA,1554211080,77,68.22,-135.01,5,9.17
164,Anadyr,75,RU,1554210147,92,64.73,177.51,28.4,17.9
165,Lakatoro,44,VU,1554211593,91,-16.11,167.42,81.45,6.76
166,Fryanovo,0,RU,1554210648,33,56.13,38.45,48.99,8.95
167,Wasilla,1,US,1554211273,80,61.58,-149.44,32,6.93
168,Bulgan,12,MN,1554211624,34,48.81,103.53,43.2,3.96
169,Rawson,0,AR,1554211634,36,-43.3,-65.11,67.5,24.32
170,Torbay,75,CA,1554211142,87,47.66,-52.73,35.01,24.16
171,Ostersund,0,SE,1554210714,51,63.18,14.64,43,12.75
172,Alta Floresta,40,BR,1554206400,94,-9.87,-56.08,78.8,1.12
173,Vanimo,64,PG,1554211675,96,-2.67,141.3,84.24,18.5
174,Naryan-Mar,76,RU,1554211685,92,67.67,53.09,29.88,16.49
175,Sao Jose da Coroa Grande,88,BR,1554211695,98,-8.9,-35.15,80.64,4.97
176,Basco,40,US,1554211564,74,40.33,-91.2,43,11.41
177,Ambulu,56,ID,1554211715,100,-8.35,113.61,79.47,3.74
178,Aquiraz,40,BR,1554211088,70,-3.9,-38.39,84.2,8.05
179,Kaspiyskiy,92,RU,1554211735,99,45.39,47.37,46.26,9.44
180,Saldanha,0,PT,1554211746,39,41.42,-6.55,64.8,6.42
181,Mahajanga,20,MG,1554210000,75,-15.72,46.32,89.6,9.17
182,Tromso,75,NO,1554209400,86,69.65,18.96,41,20.8
183,Buraydah,0,SA,1554210000,26,26.33,43.97,80.6,13.87
184,Sawtell,40,AU,1554211704,88,-30.38,153.1,64.4,5.82
185,Sumbe,0,AO,1554211796,92,-11.2,13.84,85.95,8.43
186,Narsaq,75,GL,1554209400,52,60.91,-46.05,44.6,41.38
187,Abu Samrah,12,SY,1554211819,85,35.3,37.18,55.85,10.87
188,Gimli,68,CA,1554211510,93,50.63,-96.99,30,7
189,Iturama,12,BR,1554211808,82,-19.73,-50.2,84.56,4.5
190,Talnakh,56,RU,1554211850,74,69.49,88.39,19.31,5.28
191,Barrow,64,AR,1554211860,51,-38.31,-60.23,79.88,19.04
192,Sao Filipe,0,CV,1554211870,93,14.9,-24.5,72.14,14
193,Moron,12,VE,1554211880,70,10.49,-68.2,76.73,5.39
194,Kantunilkin,75,MX,1554210142,100,21.1,-87.49,71.6,3.6
195,Mecca,0,SA,1554211683,10,21.43,39.83,87.39,10.11
196,Kattivakkam,20,IN,1554210000,70,13.22,80.32,87.8,9.17
197,Clyde River,90,CA,1554210000,84,70.47,-68.59,1.4,34.45
198,Baherden,0,TM,1554211931,60,38.44,57.43,62.87,2.15
199,Srednekolymsk,0,RU,1554211941,86,67.46,153.71,6.8,1.36
200,Shingu,64,JP,1554211951,100,33.72,135.99,49.19,15.9
201,Thompson,75,CA,1554210000,71,55.74,-97.86,8.6,8.05
202,Parana,40,BR,1554210000,94,-7.52,-72.89,78.8,4.7
203,Pechora,68,RU,1554211982,78,65.12,57.16,29.66,8.63
204,Viloco,64,BO,1554211992,98,-16.87,-67.5,52.7,1.48
205,Jalu,0,LY,1554212002,28,29.03,21.55,84.47,12.55
206,Iqaluit,90,CA,1554210000,70,63.75,-68.52,-5.81,23.04
207,Faanui,0,PF,1554212023,100,-16.48,-151.75,84.38,10.98
208,Skibbereen,40,IE,1554210000,80,51.55,-9.27,39.2,19.46
209,Trinidad,20,UY,1554210000,88,-33.52,-56.9,73.4,8.05
210,Jaciara,8,BR,1554212053,69,-15.95,-54.98,89.78,4.61
211,Abu Kamal,32,SY,1554212063,43,34.45,40.92,64.13,3.27
212,Beringovskiy,80,RU,1554212073,94,63.05,179.32,26.24,11.54
213,Gushikawa,40,JP,1554210000,76,26.35,127.87,64.4,6.93
214,Srednebelaya,0,RU,1554210000,31,50.66,128.01,33.8,4.47
215,Leesburg,1,US,1554211933,63,39.12,-77.56,45,4.61
216,Saint Anthony,90,US,1554211922,74,43.97,-111.68,41,5.82
217,Saskylakh,80,RU,1554212125,83,71.97,114.09,24.98,6.17
218,Beian,0,NO,1554212117,48,63.66,9.57,42.8,11.41
219,Isa Khel,92,AF,1554212145,68,36.67,68.84,66.47,1.92
220,Koekelare,40,BE,1554212103,71,51.09,2.98,62.01,19.46
221,Hebi,36,CN,1554212165,49,35.75,114.29,46.85,5.17
222,Impfondo,80,CD,1554212175,88,1.62,18.06,79.34,3.15
223,Koslan,56,RU,1554212186,69,63.46,48.9,33.62,7.96
224,Harper,1,US,1554212132,44,30.3,-99.24,43,3.36
225,Shizunai,12,JP,1554212058,97,42.33,142.37,23,7.85
226,Gamba,32,CN,1554212216,70,28.28,88.52,12.38,5.39
227,Hofn,0,IS,1554212226,100,64.25,-15.21,34.07,23.4
228,Bandarbeyla,0,SO,1554212236,100,9.49,50.81,80.24,9.08
229,Upernavik,0,GL,1554211967,100,72.79,-56.15,12.47,17.36
230,Goroka,76,PG,1554212256,100,-6.07,145.39,58.1,1.81
231,Chincha Alta,75,PE,1554210000,30,-13.42,-76.13,71.6,3.36
232,Kucevo,0,RS,1554212277,32,44.48,21.67,59.18,11.88
233,Saint-Francois,92,FR,1554211915,66,46.42,3.91,57.99,12.75
234,Constitucion,20,MX,1554211816,70,23.99,-104.67,48.99,14.99
235,Port Elizabeth,1,US,1554212291,65,39.31,-74.98,48.99,4.7
236,Santa Rita Arriba,20,PA,1554211586,78,9.34,-79.78,84.2,9.17
237,Coatzintla,90,MX,1554209700,100,20.48,-97.46,62.6,4.7
238,Milkovo,20,BG,1554212285,37,41.53,24.68,66.2,11.41
239,Minas,0,UY,1554210000,77,-34.38,-55.24,69.8,3.36
240,Lebu,75,ET,1554210000,33,8.96,38.73,77,9.17
241,Batemans Bay,0,AU,1554211877,81,-35.71,150.18,64,1.99
242,Nome,1,US,1554212006,93,30.04,-94.42,46,4.27
243,Husavik,88,CA,1554212125,94,50.56,-96.99,30.99,5.99
244,Bokovskaya,92,RU,1554212399,53,49.23,41.83,50.63,13.89
245,Geraldton,75,CA,1554210000,63,49.72,-86.95,30.2,10.29
246,Chunhuhub,36,MX,1554212419,58,19.59,-88.59,83.93,3.04
247,Alamos,12,AR,1554212430,49,-36.9,-62.36,79.16,13.56
248,Praia da Vitoria,75,PT,1554211830,67,38.73,-27.07,60.8,20.04
249,Touros,80,BR,1554212450,93,-5.2,-35.46,82.58,10.31
250,Kitimat,5,CA,1554211857,69,54.02,-128.69,35.6,11.41
251,Mursan,0,IN,1554212470,24,27.58,77.93,77.72,5.28
252,Itaituba,40,BR,1554210000,74,-4.26,-55.99,84.2,3.27
253,Norman Wells,75,CA,1554210000,78,65.28,-126.83,15.8,9.17
254,Wahiawa,1,US,1554212096,93,21.5,-158.02,70,4.7
255,Orlik,32,RU,1554212511,83,52.51,99.83,33.44,5.84
256,Rodrigues Alves,40,BR,1554210000,94,-7.74,-72.65,78.8,4.7
257,Keene,1,US,1554212525,69,42.93,-72.28,41,3.36
258,Sebring,90,US,1554211795,93,27.5,-81.44,64.99,7.4
259,Chernyshevskiy,44,RU,1554212551,67,63.01,112.47,27.5,9.42
260,Luanda,40,AO,1554210000,74,-8.83,13.24,87.8,10.29
261,Belmonte,64,PT,1554211829,53,40.36,-7.35,62.01,1.99
262,El Cobre,40,CU,1554209580,51,20.05,-75.95,82.4,4.7
263,Gunjur,0,GM,1554210000,29,13.18,-16.76,89.6,9.17
264,Chhoti Sadri,8,IN,1554212602,32,24.38,74.7,79.25,4.16
265,Nizhnyaya Poyma,48,RU,1554212612,58,56.16,97.2,44.42,9.75
266,Araouane,0,ML,1554212623,20,18.9,-3.53,99.68,11.65
267,Dwarka,0,IN,1554210908,22,28.58,77.04,91,9.17
268,Garowe,0,SO,1554212643,30,8.41,48.48,89.87,4.38
269,Bloomsburg,1,US,1554212619,34,41,-76.45,45,8.05
270,Tondon,12,GN,1554212663,54,10.37,-13.36,89.15,6.73
271,Point Fortin,20,TT,1554212407,74,10.16,-61.68,86,9.17
272,Ancud,0,CL,1554210000,81,-41.87,-73.83,53.6,10.29
273,Rura,0,IN,1554212694,24,26.49,79.9,80.42,7.18
274,Kavieng,68,PG,1554212704,98,-2.57,150.8,84.47,10.2
275,Cherskiy,56,RU,1554212714,76,68.75,161.3,29.48,7.52
276,Kruisfontein,8,ZA,1554212577,68,-34,24.73,63.68,12.21
277,Yatou,40,CM,1554210000,63,3.63,9.81,93.2,5.82
278,Namibe,0,AO,1554212745,95,-15.19,12.15,81.95,12.21
279,Mananjary,92,MG,1554212755,40,-19.16,46.8,77.72,5.06
280,North Myrtle Beach,90,US,1554212589,93,33.83,-78.68,48.2,16.11
281,Khani,90,GE,1554210000,93,41.96,42.96,44.6,6.93
282,Samoylovka,92,RU,1554212034,92,51.19,43.71,37,15.99
283,Beloha,0,MG,1554212795,57,-25.17,45.06,79.7,10.09
284,Lora del Rio,0,ES,1554212805,56,37.66,-5.53,70,1.12
285,Upata,8,VE,1554212816,49,8.02,-62.41,86,8.97
286,Mount Isa,0,AU,1554210000,47,-20.73,139.49,77,9.17
287,Rome,20,IT,1554212630,52,41.89,12.48,68,9.17
288,Nokia,0,FI,1554212845,33,61.48,23.51,46.4,11.41
