,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
289,Coihaique,0,CL,1554210000,62,-45.58,-72.07,57.2,26.4
290,Alice Springs,0,AU,1554210000,23,-23.7,133.88,64.4,4.7
291,Ust-Tsilma,88,RU,1554212877,71,65.44,52.15,33.08,9.86
292,Warmbad,0,DE,1554212887,44,50.67,13.08,66.99,8.05
293,Ponta do Sol,0,BR,1554212897,68,-20.63,-46,80.51,5.17
294,Miraflores,80,CO,1554212908,82,5.2,-73.14,59.63,2.37
295,Tautira,44,PF,1554212542,74,-17.73,-149.15,82.4,5.82
296,Roald,75,NO,1554212794,48,62.58,6.12,46.4,2.24
297,Nanortalik,92,GL,1554212938,94,60.14,-45.24,34.07,42.08
298,Cooma,0,AU,1554210000,100,-36.24,149.13,48.2,5.82
299,Iranshahr,75,IR,1554210000,16,27.21,60.69,93.2,11.41
300,Sayyan,24,YE,1554212969,29,15.17,44.32,72.14,5.39
301,Zeya,0,RU,1554212979,73,53.74,127.27,16.07,1.7
302,Hammerfest,40,NO,1554211200,69,70.66,23.68,37.4,5.82
303,Marawi,100,PH,1554212713,82,8,124.29,79,4
304,Rocha,8,UY,1554212996,75,-34.48,-54.34,79.52,6.51
305,Walvis Bay,0,NA,1554210000,46,-22.95,14.51,73.4,16.11
306,Nuuk,90,GL,1554209400,100,64.17,-51.74,33.8,8.05
307,Bambous Virieux,40,MU,1554212941,70,-20.34,57.76,84.2,9.17
308,Praya,40,ID,1554211800,94,-8.71,116.27,78.8,2.24
309,Mahebourg,40,MU,1554212640,70,-20.41,57.7,84.2,9.17
310,Ponta Delgada,75,PT,1554212982,77,37.73,-25.67,59,18.34
311,Saint-Pierre,75,FR,1554212824,59,48.95,4.24,64,17.22
312,Codrington,40,AU,1554212868,88,-28.95,153.24,71.6,4.94
313,Miranda,75,CO,1554210000,100,3.25,-76.23,69.8,3.36
314,Saint Stephen,75,US,1554213071,76,45.7,-94.27,34,12.75
315,Rio Gallegos,20,AR,1554210000,66,-51.62,-69.22,53.6,20.8
316,Muhos,0,FI,1554211200,45,64.81,26,44.6,8.05
317,Seymchan,80,RU,1554213142,76,62.93,152.39,12.2,2.71
318,Lavrentiya,76,RU,1554213152,91,65.58,-170.99,23.54,4.94
319,Eston,90,CA,1554212715,86,51.15,-108.75,28.99,18.34
320,Alyangula,76,AU,1554210000,94,-13.85,136.42,78.8,3.36
321,Jiexiu,12,CN,1554213182,50,37.02,111.92,39.11,3.83
322,Rumonge,32,BI,1554213192,95,-3.97,29.44,78.44,3.6
323,Muzhi,24,RU,1554213203,84,65.4,64.7,27.14,13.67
324,Hambantota,20,LK,1554210600,79,6.12,81.12,84.2,3.36
325,Iraucuba,24,BR,1554213223,95,-3.75,-39.78,82.76,5.17
326,Banda Aceh,24,ID,1554213233,100,5.56,95.32,75.74,2.71
327,Zhanaozen,92,KZ,1554213243,96,43.35,52.85,42.62,14.9
328,Ghorawal,0,IN,1554213253,32,24.75,82.78,77.54,6.4
329,Aripuana,24,BR,1554213264,65,-9.17,-60.63,90.5,3.04
330,Morro Bay,75,US,1554212980,93,35.37,-120.85,55.4,4.05
331,Isangel,92,VU,1554213284,100,-19.55,169.27,80.15,15.01
332,Panjab,8,AF,1554213294,91,34.38,67.02,32.9,1.25
333,Victoria,75,BN,1554210000,78,5.28,115.24,82.4,5.82
334,Sistranda,0,NO,1554213272,48,63.73,8.83,42.8,10.29
335,Batagay-Alyta,68,RU,1554213325,80,67.8,130.41,6.35,2.71
336,Norwich,75,GB,1554213303,93,52.63,1.29,46,12.75
337,Salalah,20,OM,1554209400,66,17.01,54.1,84.2,11.41
338,Manali,0,IN,1554213356,69,32.25,77.19,0.68,1.03
339,Tazovskiy,8,RU,1554213366,89,67.47,78.7,20.3,12.88
340,Sakaiminato,40,JP,1554212897,100,35.55,133.23,37.4,5.82
341,Vredendal,0,ZA,1554213386,22,-31.68,18.49,82.67,5.39
342,Mangit,20,UZ,1554211800,32,40.6,70.96,68,2.24
343,Cockburn Town,0,TC,1554213407,100,21.46,-71.14,77.63,12.33
344,Areosa,0,PT,1554213315,67,41.72,-8.86,70,10.29
345,Flin Flon,75,CA,1554211080,72,54.77,-101.88,15.8,12.75
346,Mattru,80,SL,1554213437,81,7.62,-11.83,85.19,4.38
347,Westport,75,IE,1554213423,100,53.8,-9.52,43,10.29
348,Cabra,40,ES,1554213416,55,37.47,-4.43,69.01,3.36
349,Shimoda,0,JP,1554213312,35,34.7,138.93,44.01,19.15
350,Ewa Beach,1,US,1554213295,77,21.32,-158.01,70,4.7
351,Chivilcoy,44,AR,1554213488,81,-34.9,-60.02,78.44,9.08
352,Kulu,12,CD,1554213498,44,3.47,23.69,93.56,2.93
353,Sedalia,90,US,1554213460,65,38.7,-93.23,43,6.93
354,Porto Nacional,40,BR,1554210000,83,-10.7,-48.41,80.6,5.82
355,Mandal,20,MN,1554213529,69,48.82,106.5,25.16,2.59
356,Opuwo,36,NA,1554213539,42,-18.06,13.84,85.64,3.71
357,Chicama,90,PE,1554210000,93,-7.84,-79.15,66.2,6.93
358,Darlowo,0,PL,1554213560,80,54.42,16.41,46.04,23.06
359,Yumen,0,CN,1554213570,51,40.29,97.04,40.1,5.61
360,Lompoc,90,US,1554213292,93,34.64,-120.46,55.99,5.39
361,Bonnyville,75,CA,1554210000,63,54.27,-110.74,26.6,10.29
362,Iskateley,64,RU,1554213601,84,67.68,53.15,28.94,16.24
363,Qaqortoq,75,GL,1554209400,52,60.72,-46.03,44.6,41.38
364,Rosario do Sul,20,BR,1554213625,49,-30.26,-54.91,89.78,4.5
365,Saint Paul,1,US,1554213445,80,44.95,-93.1,36,6.93
366,Ahipara,32,NZ,1554213645,99,-35.17,173.16,58.73,10.98
367,Czersk,0,PL,1554213552,32,53.8,17.98,55.99,34
368,Fez,40,MA,1554211800,52,34.03,-5.02,69.8,6.93
369,Airai,44,TL,1554213676,86,-8.93,125.41,69.62,0.69
370,Chumikan,0,RU,1554213686,71,54.72,135.31,14.45,2.71
371,Kingman,1,US,1554213426,23,35.19,-114.05,69.01,6.62
372,Pacific Grove,90,US,1554213704,93,36.62,-121.92,55,4.5
373,Hamilton,90,CA,1554213482,69,43.26,-79.87,41,14.99
374,Flinders,24,AU,1554213616,93,-34.58,150.85,64,5.82
375,Karatuzskoye,32,RU,1554213737,70,53.61,92.87,47.3,8.19
376,Cayenne,75,GF,1554211800,70,4.94,-52.33,84.2,10.29
377,Nemuro,0,JP,1554213757,100,43.32,145.57,29.84,10.42
378,Severnoye,92,RU,1554213767,95,54.09,52.54,33.44,11.77
379,Makakilo City,1,US,1554213598,77,21.35,-158.09,70,4.7
380,Tuatapere,0,NZ,1554213608,89,-46.13,167.69,48.99,4.94
381,Palauig,12,PH,1554213798,100,15.44,119.9,73.31,2.93
382,Dauphin,90,CA,1554213000,68,51.15,-100.04,26.6,20.8
383,Lagoa,20,PT,1554213728,72,37.14,-8.45,66.99,9.17
384,Torres,12,BR,1554213754,83,-29.34,-49.73,78.62,5.39
385,Chumphon,36,TH,1554213839,87,10.5,99.18,77,2.93
386,Farafangana,24,MG,1554213849,94,-22.82,47.83,81.32,8.63
387,Avera,90,US,1554213725,93,33.19,-82.53,45,9.17
388,Abha,40,SA,1554210000,56,18.22,42.5,69.8,13.87
389,Rongcheng,0,CN,1554213880,74,37.16,122.42,33.17,8.52
390,Ghindaresti,0,RO,1554211800,38,44.65,28.03,54,14.99
391,Antofagasta,0,CL,1554210000,63,-23.65,-70.4,66.2,4.7
392,Merauke,92,ID,1554213645,100,-8.49,140.4,77.27,5.84
393,San Patricio,76,PY,1554213920,75,-26.98,-56.83,80.6,4.61
394,Santa Cruz,90,US,1554213718,93,36.97,-122.03,55.4,3.15
395,Varkaus,0,FI,1554213604,31,62.32,27.87,46.4,6.93
396,Morondava,0,MG,1554213952,74,-20.3,44.28,84.38,7.96
397,San Pedro,0,AR,1554213964,78,-33.68,-59.66,80.6,6.17
398,Dabola,48,GN,1554213974,85,10.74,-11.11,77.54,3.04
399,Rantepao,56,ID,1554213984,100,-2.97,119.9,66.29,2.71
400,Tchollire,0,CM,1554213994,16,8.4,14.17,104.54,9.86
401,Bhag,20,PK,1554214005,27,29.04,67.82,88.25,5.61
402,Carutapera,76,BR,1554214010,98,-1.2,-46.02,80.69,4.38
403,Alcoentre,20,PT,1554214022,63,39.21,-8.96,73,4.7
404,Taoudenni,8,ML,1554214035,22,22.68,-3.98,92.48,9.64
405,Njombe,92,TZ,1554214045,83,-9.34,34.77,69.08,5.61
406,Baghdad,0,IQ,1554211800,31,33.3,44.38,73.4,6.93
407,Kichera,8,RU,1554214066,62,55.93,110.1,9.77,2.37
408,Huarmey,88,PE,1554214076,74,-10.07,-78.15,72.95,3.38
409,Deputatskiy,0,RU,1554214086,55,69.3,139.9,-6.52,3.94
410,Meulaboh,76,ID,1554214096,100,4.14,96.13,81.32,3.27
411,Tandil,0,AR,1554214106,65,-37.33,-59.14,81.68,16.69
412,Sorland,40,NO,1554211200,86,67.67,12.69,41,17.22
413,Dingle,12,PH,1554214127,83,11,122.67,77.18,11.21
414,Banning,1,US,1554214108,81,33.93,-116.88,62.01,1.92
415,Maceio,40,BR,1554213600,66,-9.67,-35.74,86,8.05
416,Penzance,75,GB,1554214088,87,50.12,-5.53,50,10.29
417,Paris,75,FR,1554213932,54,48.86,2.35,59,24.16
418,Almaznyy,20,RU,1554211800,61,48.03,40.04,48.2,17.9
419,North Bay,90,CA,1554214026,92,46.31,-79.46,33.01,23.04
420,Bida,8,NG,1554214198,43,9.08,6.02,100.13,7.4
421,Zwettl,48,AT,1554214207,40,48.6,15.17,69.01,14
422,Kjollefjord,75,NO,1554209400,69,70.95,27.35,35.6,14.99
423,Stavern,0,NO,1554213704,42,59,10.03,46.4,21.92
424,Piacabucu,44,BR,1554214239,69,-10.41,-36.43,87.89,10.2
425,Aranda de Duero,48,ES,1554214249,69,41.67,-3.69,55.04,6.96
426,Lazaro Cardenas,12,MX,1554214214,40,28.39,-105.62,55,3.6
427,Longyearbyen,75,NO,1554211200,66,78.22,15.63,10.4,2.24
428,La Reforma,0,GT,1554213734,78,14.8,-91.82,73.4,1.92
429,Burnie,12,AU,1554214143,90,-41.05,145.91,51.01,10.98
430,Baykit,88,RU,1554214300,86,61.68,96.39,29.21,8.52
431,Villanueva,0,NI,1554214311,52,12.96,-86.82,87.26,3.94
432,Loa Janan,48,ID,1554214321,94,-0.58,117.09,76.82,0.81
433,Pisco,75,PE,1554210000,30,-13.71,-76.2,71.6,3.36
434,Pangnirtung,75,CA,1554210000,60,66.15,-65.72,6.8,10.29
435,Guerrero Negro,20,MX,1554214351,77,27.97,-114.04,56.75,1.59
436,Lahij,0,YE,1554214361,47,13.06,44.88,85.1,6.4
437,Lashio,20,MM,1554214372,96,22.93,97.75,61.52,2.04
438,Mount Gambier,12,AU,1554210000,54,-37.83,140.78,59,9.17
439,Kathu,56,ZA,1554213686,18,-27.7,23.05,89.01,1.99
440,Changji,92,CN,1554214402,63,32.07,116.17,56.12,3.83
441,Omis,0,HR,1554211800,63,43.44,16.69,64.4,11.41
442,Savalou,12,BJ,1554214422,77,7.93,1.98,90.5,2.59
443,Guanica,40,PR,1554214137,69,17.97,-66.91,82.99,11.41
444,Yarmouth,20,GB,1554214389,40,50.71,-1.5,53.6,19.46
445,Maltahohe,36,NA,1554214453,22,-24.83,16.98,87.08,8.52
446,San Juan,0,AR,1554214227,54,-31.54,-68.53,78.98,4.38
447,Zhukovka,0,RU,1554211800,30,55.51,37.29,46.4,8.95
448,Brae,75,GB,1554213000,87,60.4,-1.35,42.8,16.11
449,Awjilah,0,LY,1554214494,31,29.14,21.3,81.41,6.73
450,Inta,88,RU,1554214505,78,66.04,60.13,29.48,8.75
451,Alofi,92,NU,1554210000,94,-19.06,-169.92,71.6,1.12
452,Sibu,75,MY,1554210000,94,2.29,111.83,78.8,3.49
453,Manicore,0,BR,1554210000,79,-5.81,-61.3,84.2,3.36
454,Hokitika,8,NZ,1554214545,100,-42.72,170.96,52.7,7.18
455,Lasa,40,CY,1554213657,63,34.92,32.53,66.2,9.17
456,Half Moon Bay,90,US,1554214564,87,37.46,-122.43,55.4,7.96
457,Ankazoabo,8,MG,1554214576,33,-22.29,44.51,84.65,4.72
458,Sandane,0,NO,1554214576,42,61.77,6.22,46.4,8.05
459,Conceicao do Araguaia,36,BR,1554214596,96,-8.26,-49.26,83.84,5.39
460,Paracuru,75,BR,1554214088,70,-3.41,-39.03,84.2,10.29
461,Highland,40,US,1554214615,100,34.13,-117.21,57.99,1.92
462,Novobeysugskaya,32,RU,1554214517,84,45.47,39.89,45,3.15
463,Ucluelet,20,CA,1554214574,61,48.94,-125.55,57.99,6.93
464,Kouroussa,56,GN,1554214647,77,10.65,-9.88,86,4.72
465,Pacifica,90,US,1554214514,93,37.61,-122.49,55,4.7
466,Kitakata,68,JP,1554214572,64,37.67,139.86,34,1.99
467,Tezu,80,IN,1554214677,86,27.93,96.16,53.51,1.36
468,Fort Smith,1,US,1554213808,75,35.39,-94.42,44.6,4.7
469,Foam Lake,24,CA,1554214698,86,51.65,-103.53,22.01,11.21
470,Namikupa,20,MZ,1554214708,62,-10.84,39.63,84.74,5.17
471,Namatanai,56,PG,1554214718,99,-3.66,152.44,82.58,9.42
472,Poum,40,MK,1554213600,23,41.28,20.71,64.4,5.82
473,Bintulu,75,MY,1554210000,88,3.17,113.03,78.8,3.04
474,Aktau,90,KZ,1554211800,100,43.65,51.16,44.6,15.66
475,Majene,44,ID,1554214641,97,-3.54,118.97,83.03,8.19
476,Sisimiut,92,GL,1554214680,100,66.94,-53.67,23.72,3.94
477,Oskarshamn,0,SE,1554214504,49,57.26,16.44,46.99,17.22
478,Dunedin,0,NZ,1554214317,86,-45.87,170.5,50,1.01
479,Arman,64,RU,1554214799,81,59.7,150.17,20.66,3.15
480,Odenton,1,US,1554214806,48,39.09,-76.71,48,6.93
481,Amga,68,RU,1554214819,77,60.89,131.98,18.14,2.37
482,Bahia Blanca,0,AR,1554214829,52,-38.72,-62.27,77.63,14.67
483,Aykhal,92,RU,1554214839,88,65.95,111.51,29.03,6.73
484,Pljevlja,20,ME,1554213600,31,43.36,19.36,60.8,9.17
485,Mehamn,75,NO,1554209400,69,71.03,27.85,35.6,14.99
486,Buzdyak,92,RU,1554214870,96,54.57,54.53,33.35,9.53
487,Menomonie,1,US,1554214577,80,44.88,-91.92,39.99,9.17
488,Fergus Falls,75,US,1554214525,92,46.28,-96.08,34,11.41
489,Okahandja,40,NA,1554210000,28,-21.98,16.91,86,8.05
490,Buchanan,40,LR,1554211800,63,5.88,-10.05,91.4,9.17
491,Palembang,20,ID,1554211800,94,-2.99,104.76,82.4,4.7
492,Carauari,0,BR,1554214931,81,-4.88,-66.9,87.26,3.83
493,Hervey Bay,92,AU,1554214516,77,-25.3,152.85,70,9.17
494,Chuy,0,UY,1554214744,99,-33.69,-53.46,77.72,6.4
495,Monrovia,40,LR,1554211800,63,6.33,-10.8,91.4,9.17
496,Denpasar,40,ID,1554211800,83,-8.65,115.22,84.2,5.82
497,Itarema,32,BR,1554214982,100,-2.92,-39.92,83.48,4.38
498,Kangaatsiaq,92,GL,1554214992,100,68.31,-53.46,23.36,18.48
499,Slave Lake,90,CA,1554210000,86,55.28,-114.77,28.4,13.87
500,Ust-Shonosha,0,RU,1554215012,88,61.15,41.34,33.08,8.97
501,Sur,0,OM,1554215022,81,22.57,59.53,80.42,3.71
502,Caravelas,0,BR,1554214999,100,-17.73,-39.27,80.42,7.52
503,Nortelandia,12,BR,1554215042,81,-14.45,-56.8,88.52,6.17
504,Cayon,40,KN,1554214621,65,17.35,-62.73,82.4,12.75
505,Madang,88,PG,1554215063,100,-5.21,145.81,75.92,1.48
506,Libourne,90,FR,1554214879,67,44.91,-0.24,64,16.11
507,Tiarei,80,PF,1554213743,74,-17.53,-149.33,82.4,5.82
508,Axim,0,GH,1554215093,94,4.87,-2.24,84.38,11.99
509,Sao Desiderio,64,BR,1554214944,100,-12.36,-44.97,76.82,4.38
510,Camacha,40,PT,1554213600,87,33.08,-16.33,59,3.36
511,Uaua,76,BR,1554215123,47,-9.84,-39.48,90.5,7.74
512,Kalianget,20,ID,1554211800,88,-7.35,109.91,80.6,2.15
513,College,1,US,1554214858,86,64.86,-147.8,30,1.7
514,Katherine,24,AU,1554211800,61,-14.47,132.26,78.8,4.7
515,Phek,100,IN,1554215164,91,25.7,94.46,59.27,1.92
516,Irbeyskoye,64,RU,1554215174,67,55.64,95.45,44.51,18.03
517,Richards Bay,92,ZA,1554215184,100,-28.77,32.06,65.66,5.61
518,Rio Pomba,75,BR,1554215097,82,-21.28,-43.18,84,3.36
519,Imbituba,0,BR,1554210000,69,-28.24,-48.67,78.8,10.29
520,Karasjok,75,NO,1554213000,59,69.47,25.52,35.6,5.82
521,Kuybysheve,0,UA,1554215225,34,47.36,36.65,47.3,15.79
522,Inuvik,90,CA,1554211080,77,68.36,-133.71,5,9.17
523,Uricani,44,RO,1554215245,60,45.33,23.12,46.94,1.81
524,Ballina,40,IE,1554214805,86,54.11,-9.15,42.01,17.22
525,San Andres,20,PH,1554215266,95,13.32,122.68,82.49,11.77
526,Kalino,0,PL,1554215254,24,51.66,19.56,57.99,14.99
527,Algiers,1,US,1554215185,50,29.94,-90.04,55.99,9.17
528,Vila Franca do Campo,40,PT,1554215060,72,37.72,-25.43,59,20.8
529,El Carmen,75,AR,1554213600,82,-24.39,-65.26,68,2.24
530,Bilma,0,NE,1554215132,16,18.69,12.92,95.9,7.96
531,Goderich,56,CA,1554215313,71,43.74,-81.71,39.99,18.01
532,Davila,44,PH,1554215337,96,18.47,120.58,77.81,21.39
533,Ormara,0,PK,1554215347,80,25.21,64.64,78.44,7.63
534,Luis Correia,40,BR,1554210000,55,-2.88,-41.67,89.6,9.17
535,Talaya,0,RU,1554210000,56,55.79,84.89,41,13.42
536,Tiznit,44,MA,1554215378,67,29.7,-9.73,72.68,6.06
537,Staryy Nadym,32,RU,1554215388,86,65.61,72.68,24.53,14.45
538,Udachnyy,88,RU,1554215398,87,66.42,112.4,31.1,3.6
539,Tabas,20,IR,1554213600,21,33.6,56.92,78.8,2.24
540,Sao Joao da Barra,20,BR,1554213600,51,-21.64,-41.05,84.2,6.93
541,Mayo,20,CA,1554213600,85,63.59,-135.9,23,2.71
542,Ranau,75,MY,1554215416,78,5.95,116.67,82.4,4.7
543,Inirida,68,CO,1554215449,91,3.87,-67.92,77.09,1.7
544,Khash,36,IR,1554215459,26,28.22,61.21,71.6,7.52
545,Hualmay,12,PE,1554215469,77,-11.1,-77.61,72.59,4.05
546,Bud,75,NO,1554215468,52,62.91,6.91,46,8.05
547,Kholodnyy,12,RU,1554215490,56,62.72,147.95,-3.28,2.59
548,Stanisic,0,RS,1554213600,32,45.94,19.16,68,6.93
549,Imeni Poliny Osipenko,20,RU,1554215510,68,52.42,136.49,13.46,3.15
550,Kerrville,1,US,1554215493,61,30.05,-99.14,51.01,5.82
551,San Ignacio,0,CL,1554213600,63,-36.8,-72.03,66.2,14.99
552,Thaba-Tseka,48,LS,1554215541,59,-29.52,28.61,56.57,3.6
553,Villamontes,90,BO,1554213600,88,-21.26,-63.47,75.2,3.38
554,Adrar,0,DZ,1554213600,19,27.87,-0.29,87.8,6.93
555,Qasigiannguit,75,GL,1554213000,63,68.82,-51.19,26.6,8.05
556,Binga,0,ZW,1554215582,43,-17.62,27.34,90.86,5.06
557,Gobabis,56,NA,1554215592,46,-22.45,18.97,81.05,8.86
558,Una,20,BR,1554213600,70,-15.29,-39.07,87.8,11.41
559,Chapeco,75,BR,1554213600,83,-27.1,-52.62,75.2,9.17
560,Santa Marta,75,CO,1554215054,70,11.24,-74.21,86,4.7
561,Hovd,0,NO,1554215467,48,63.83,10.7,43,14.99
562,Padang,40,ID,1554210000,74,-0.92,100.36,84.2,4.7
563,Ashington,40,GB,1554215630,98,55.18,-1.57,46.99,5.82
564,Baillif,75,GP,1554213600,61,16.02,-61.75,82.4,14.99
565,Harnosand,0,SE,1554215669,69,62.63,17.94,45,13.87
566,Biak,92,ID,1554215683,100,-0.91,122.88,77.27,2.71
567,Svay Rieng,20,KH,1554215694,62,11.08,105.8,82.31,10.87
568,Monterey,20,US,1554215489,76,36.6,-121.89,55,6.93
569,Camalu,0,MX,1554215415,70,30.85,-116.07,51.8,2.37
570,Banjar,64,ID,1554215724,89,-7.37,108.54,72.59,2.59
571,Quatre Cocos,40,MU,1554215641,78,-20.21,57.76,82.4,3.36
572,Saint-Augustin,75,FR,1554215600,67,44.83,-0.61,62.01,13.87
573,Gorontalo,80,ID,1554215752,95,0.54,123.06,74.21,2.04
574,Ketchikan,1,US,1554214320,75,55.34,-131.65,41,5.82
575,Whitehorse,20,CA,1554215654,79,60.72,-135.06,23,3.36
576,Kalmunai,0,LK,1554215634,80,7.42,81.82,79.25,5.61
577,Muros,40,ES,1554215715,62,42.77,-9.06,60.8,10.29
578,Biltine,0,TD,1554215805,16,14.53,20.93,100.04,4.61
